"Relative Time (Process)","experiment-human-data - system/gpu.process.0.memoryAllocatedBytes","experiment-human-data - system/gpu.process.0.memoryAllocatedBytes__MIN","experiment-human-data - system/gpu.process.0.memoryAllocatedBytes__MAX"
"57181.785615","21111898112","21111898112","21111898112"
"57211.786572","21111898112","21111898112","21111898112"
"57241.787422","21111898112","21111898112","21111898112"
"57271.7884","21111898112","21111898112","21111898112"
"57301.789162","21111898112","21111898112","21111898112"
"57331.789894","21111898112","21111898112","21111898112"
"57361.79072","21111898112","21111898112","21111898112"
"57391.791526","21111898112","21111898112","21111898112"
"57421.792186","21111898112","21111898112","21111898112"
"57451.792701","21111898112","21111898112","21111898112"
"57481.793309","21111898112","21111898112","21111898112"
"57511.793862","21111898112","21111898112","21111898112"
"57541.794664","21111898112","21111898112","21111898112"
"57571.795362","21111898112","21111898112","21111898112"
"57601.796041","21111898112","21111898112","21111898112"
"57631.796732","21111898112","21111898112","21111898112"
"57661.797281","21111898112","21111898112","21111898112"
"57691.797942","21111898112","21111898112","21111898112"
"57721.798618","21111898112","21111898112","21111898112"
"57751.799245","21111898112","21111898112","21111898112"
"57781.799841","21111898112","21111898112","21111898112"
"57811.80067","21111898112","21111898112","21111898112"
"57841.801376","21111898112","21111898112","21111898112"
"57871.801921","21111898112","21111898112","21111898112"
"57901.802815","21111898112","21111898112","21111898112"
"57931.803649","21111898112","21111898112","21111898112"
"57961.804389","21111898112","21111898112","21111898112"
"57991.805234","21111898112","21111898112","21111898112"
"58021.805863","21111898112","21111898112","21111898112"
"58051.806635","21111898112","21111898112","21111898112"
"58081.80719","21111898112","21111898112","21111898112"
"58111.80816","21111898112","21111898112","21111898112"
"58141.808998","21111898112","21111898112","21111898112"
"58171.809914","21111898112","21111898112","21111898112"
"58201.810634","21111898112","21111898112","21111898112"
"58231.811349","21111898112","21111898112","21111898112"
"58261.812127","21111898112","21111898112","21111898112"
"58291.812796","21111898112","21111898112","21111898112"
"58321.813633","21111898112","21111898112","21111898112"
"58351.814408","21111898112","21111898112","21111898112"
"58381.815138","21111898112","21111898112","21111898112"
"58411.815855","21111898112","21111898112","21111898112"
"58441.816755","21111898112","21111898112","21111898112"
"58471.817683","21111898112","21111898112","21111898112"
"58501.818548","21111898112","21111898112","21111898112"
"58531.819378","21111898112","21111898112","21111898112"
"58561.820176","21111898112","21111898112","21111898112"
"58591.821049","21111898112","21111898112","21111898112"
"58621.821953","21111898112","21111898112","21111898112"
